"Type","Parent","Name","Size" 
"Directory","files","__pycache__",1277
"Directory","files","my_files",40
"Directory","my_files","1",0
"Files","files","main_rename.py",356
"Files","files","new_file.txt",115
"Files","files","add_jason.py",1680
"Files","files","new_file1.txt",412
"Files","files","rename_files.py",1839
"Files","files","__init__.py",0
"Files","files","new_file1.json",42
"Files","files","new_file.json",1016
"Files","files","new_file.csv",863
"Files","files","Seminar_7.py",1234
"Files","files","res.txt",790
"Files","files","new_file3.json",845
"Files","files","to_json.py",1008
"Files","files","walk_directory.py",3112
"Files","__pycache__","rename_files.cpython-311.pyc",1277
"Files","my_files","this_my_file_001.txt",15
"Files","my_files","this_my_file_002.txt",25
"Files","my_files","this_my_file_003.txt",0
